studio,domestic_gross,foreign_gross,year,title_new
WB (NL),54000000.0,1000000.0,2016,barbershop: the next cut
BV,27600000.0,24500000.0,2016,the finest hours
CJ,597000.0,51000000.0,2016,master
LGF,31900000.0,18700000.0,2016,patriots day
Par.,27400000.0,21500000.0,2016,florence foster jenkins
ORF,32500000.0,15900000.0,2016,mother's day
JBG,467000.0,47700000.0,2016,luck-key
Elev.,257000.0,47600000.0,2016,yo-kai watch: the movie
Focus,3700000.0,43600000.0,2016,a monster calls
Fox,15800000.0,30400000.0,2016,eddie the eagle
Sony,36900000.0,9200000.0,2016,risen
LGF,20800000.0,24400000.0,2016,blair witch
LGF,11100000.0,32700000.0,2016,cafe society
Uni.,42200000.0,422000.0,2016,almost christmas
A24,25100000.0,15300000.0,2016,the witch
LG/S,8000000.0,31500000.0,2016,the wild life (2016)
LG/S,14700000.0,24100000.0,2016,criminal (2016)
FoxS,4800000.0,33100000.0,2016,absolutely fabulous: the movie
LGF,27000000.0,10900000.0,2016,hell or high water
Focus,26600000.0,11000000.0,2016,the forest
ORF,21600000.0,15700000.0,2016,snowden
TriS,1700000.0,29200000.0,2016,billy lynn's long halftime walk
SGem,29700000.0,911000.0,2016,when the bough breaks
Focus,10700000.0,19600000.0,2016,nocturnal animals
Fox,14900000.0,15000000.0,2016,keeping up with the joneses
FIP,4300000.0,24100000.0,2016,ae dil hai mushkil
Yash,2300000.0,25900000.0,2016,fan
FIP,1800000.0,26000000.0,2016,m.s. dhoni: the untold story
BV,12500000.0,13400000.0,2016,the light between oceans
Sony,6900000.0,18300000.0,2016,the brothers grimsby
Focus,19200000.0,5900000.0,2016,race (2016)
STX,20800000.0,4200000.0,2016,free state of jones
Imax,15500000.0,9400000.0,2016,a beautiful planet
PFR,20800000.0,3700000.0,2016,god's not dead 2
Par.,7100000.0,16600000.0,2016,silence (2016)
LGF,20000000.0,3300000.0,2016,middle school: the worst years of my life
ORF,12600000.0,10500000.0,2016,triple 9
Par.,23100000.0,0.0,2016,whiskey tango foxtrot
BST,5900000.0,16900000.0,2016,captain fantastic
WB,10400000.0,12300000.0,2016,live by night
SPC,1500000.0,21000000.0,2016,julieta
ORF,11700000.0,10500000.0,2016,fifty shades of black
WB (NL),20600000.0,0.0,2016,keanu
FIP,201000.0,20200000.0,2016,el clan
STX,14400000.0,4400000.0,2016,the edge of seventeen
LGF,18700000.0,0.0,2016,the choice
BST,18700000.0,0.0,2016,eye in the sky
BG,17800000.0,0.0,2016,bad santa 2
W/Dim.,55000.0,17600000.0,2016,regression
FIP,1600000.0,16000000.0,2016,neerja
Rela.,17400000.0,0.0,2016,masterminds (2016)
LGF,17100000.0,0.0,2016,norm of the north
STX,9300000.0,7600000.0,2016,hardcore henry
SGem,10900000.0,5500000.0,2016,pride and prejudice and zombies
BG,15400000.0,0.0,2016,the infiltrator
FIP,2600000.0,12800000.0,2016,kapoor & sons - since 1921
HTR,50300.0,14800000.0,2016,the take (2016)
WGUSA,75500.0,14600000.0,2016,sword master
RAtt.,14400000.0,0.0,2016,"hello, my name is doris"
Fox,3000000.0,11300000.0,2016,the other side of the door
RAtt.,14000000.0,0.0,2016,love & friendship
FoxS,14000000.0,0.0,2016,jackie
Wein.,3200000.0,10400000.0,2016,sing street
EC,6900000.0,6200000.0,2016,shut in
Focus,7800000.0,5200000.0,2016,loving
Abr.,2900000.0,9400000.0,2016,the beatles: eight days a week - the touring years
IFC,3900000.0,8400000.0,2016,the man who knew infinity
PNT,11500000.0,0.0,2016,no manches frida
BH Tilt,10800000.0,0.0,2016,the darkness
RAtt.,3200000.0,7600000.0,2016,our kind of traitor
LGF,9700000.0,745000.0,2016,the perfect match
BV,8900000.0,1500000.0,2016,queen of katwe
EC,3500000.0,5600000.0,2016,miss sloane
Focus,8800000.0,0.0,2016,ratchet & clank
Fox,3900000.0,4900000.0,2016,morgan
A24,8700000.0,0.0,2016,the lobster (us release)
FM,54100.0,7900000.0,2016,my king (mon roi)
IFC,57000.0,7800000.0,2016,pele: birth of a legend
FoxS,2000000.0,5500000.0,2016,a bigger splash
RAtt.,6300000.0,208000.0,2016,southside with you
Focus,6500000.0,0.0,2016,the young messiah
BH Tilt,4800000.0,1500000.0,2016,incarnate
ORF,3800000.0,2500000.0,2016,max steel
WB,3700000.0,2500000.0,2016,midnight special
Sony,13500.0,6100000.0,2016,the duelist
IFC,10500.0,6000000.0,2016,the autopsy of jane doe
Sony,78600.0,5600000.0,2016,my best friend's wedding (2016)
RAtt.,1400000.0,4300000.0,2016,genius
A24,5700000.0,0.0,2016,20th century women
Orch.,5200000.0,0.0,2016,hunt for the wilderpeople
ORF,5100000.0,0.0,2016,bleed for this
Wein.,4700000.0,0.0,2016,hands of stone
Drft.,30200.0,4600000.0,2016,men & chicken
SPC,4300000.0,0.0,2016,the meddler
RAtt.,4200000.0,0.0,2016,a hologram for the king
A24,4200000.0,0.0,2016,swiss army man
BST,4099999.0,0.0,2016,denial
RAtt.,3400000.0,523000.0,2016,indignation
CineGalaxy,3900000.0,0.0,2016,kabali
Fox,3700000.0,233000.0,2016,rules don't apply
Drft.,3800000.0,0.0,2016,where to invade next
Fathom,3800000.0,0.0,2016,batman: the killing joke
FIP,219000.0,3500000.0,2016,naam hai akira
MBox,3500000.0,0.0,2016,a man called ove
SPC,2600000.0,850000.0,2016,miles ahead
Par.,3400000.0,0.0,2016,everybody wants some!!
SPC,3400000.0,0.0,2016,maggie's plan
EOne,13100.0,3300000.0,2016,the program (2016)
A24,3200000.0,0.0,2016,green room
SPC,3200000.0,0.0,2016,the eagle huntress
PNT,3100000.0,0.0,2016,compadres
STX,2000000.0,1000000.0,2016,desierto
BST,3000000.0,0.0,2016,anthropoid
PFR,2400000.0,255000.0,2016,hillsong - let hope rise
Sony,650000.0,1900000.0,2016,el jeremias
Rela.,2400000.0,0.0,2016,the disappointments room
Relbig.,2400000.0,0.0,2016,dear zindagi
SPC,2300000.0,0.0,2016,elle
BST,2200000.0,0.0,2016,paterson
A24,33300.0,2100000.0,2016,equals
PFR,2100000.0,0.0,2016,i'm not ashamed
BG,2000000.0,0.0,2016,the dressmaker
Magn.,2000000.0,0.0,2016,the handmaiden
FoxS,2000000.0,0.0,2016,demolition
A24,663000.0,1200000.0,2016,american honey
PNT,1700000.0,0.0,2016,busco novio para mi mujer
IFC,14000.0,1700000.0,2016,a perfect day
IFC,1700000.0,0.0,2016,weiner
Zee,1100000.0,571000.0,2016,rustom
SPC,1600000.0,0.0,2016,i saw the light
Wein.,1500000.0,0.0,2016,jane got a gun
SPC,1500000.0,0.0,2016,toni erdmann
BG,1300000.0,0.0,2016,the neon demon
Osci.,1300000.0,0.0,2016,embrace of the serpent
Eros,1300000.0,0.0,2016,housefull 3
UTV,1300000.0,0.0,2016,mohenjo daro
Ampl.,1200000.0,0.0,2016,lazer team
Orch.,1200000.0,0.0,2016,the music of strangers
Men.,1100000.0,0.0,2016,dough
Osci.,47300.0,1100000.0,2016,ma ma
Relbig.,1100000.0,0.0,2016,wazir
YFG,1100000.0,0.0,2016,papa: hemingway in cuba
IFC,1100000.0,0.0,2016,certain women
MBox,1100000.0,0.0,2016,the innocents
BST,1100000.0,0.0,2016,elvis & nixon
CJ,1000000.0,0.0,2016,operation chromite
Eros,982000.0,0.0,2016,baar baar dekho
SPC,941000.0,0.0,2016,dark horse (2016)
Orch.,939000.0,0.0,2016,neruda
Gaatri,898000.0,0.0,2016,gentleman
Eros,858000.0,0.0,2016,ki & ka
Eros,813000.0,0.0,2016,dishoom
WGUSA,787000.0,0.0,2016,the wailing (goksung)
CL,780000.0,0.0,2016,chongqing hot pot
WB,765000.0,0.0,2016,the polar express (2016 re-issue)
Magn.,703000.0,0.0,2016,little men (2016)
Eros,701000.0,0.0,2016,chaar sahibzaade: rise of band singh bahadur
IFC,678000.0,0.0,2016,born to be blue (us release)
IFC,641000.0,0.0,2016,city of gold
A24,638000.0,0.0,2016,remember (us release)
Gathr,629000.0,0.0,2016,embrace: the documentary
Magn.,614000.0,0.0,2016,tickled
Magn.,595000.0,0.0,2016,"lo and behold, reveries of the connected world"
FCW,572000.0,0.0,2016,a tale of love and darkness
WGUSA,569000.0,0.0,2016,tunnel
BG,566000.0,0.0,2016,knight of cups
FR,561000.0,0.0,2016,harry & snowman
LGF,544000.0,0.0,2016,american pastoral
CJ,542000.0,0.0,2016,the age of shadows
UTV,529000.0,0.0,2016,fitoor
Magn.,527000.0,0.0,2016,the first monday in may
Cohen,497000.0,0.0,2016,marguerite
FUN,491000.0,0.0,2016,the boy and the beast
IFC,477000.0,0.0,2016,wiener-dog
SPC,468000.0,0.0,2016,our little sister
GK,453000.0,0.0,2016,only yesterday (2016 re-release)
UTV,438000.0,0.0,2016,baaghi
SPC,435000.0,0.0,2016,land of mine
IFC,388000.0,0.0,2016,things to come
Mon,377000.0,0.0,2016,the lobster (canada release)
CL,356000.0,0.0,2016,mr. donkey
Eros,352000.0,0.0,2016,happy bhaag jayegi
Magn.,346000.0,0.0,2016,high-rise
Rel.,332000.0,0.0,2016,te3n
MBox,307000.0,0.0,2016,francofonia
MBox,303000.0,0.0,2016,mia madre
GK,295000.0,0.0,2016,april and the extraordinary world
KL,295000.0,0.0,2016,ixcanul
Cohen,288000.0,0.0,2016,the people vs. fritz bauer
Vita.,286000.0,0.0,2016,aquarius
VE,270000.0,0.0,2016,kingsglaive: final fantasy: xv
Magn.,269000.0,0.0,2016,my golden days
SM,263000.0,0.0,2016,the family fang
IFC,262000.0,0.0,2016,dheepan
Orch.,255000.0,0.0,2016,"life, animated"
A24,243000.0,0.0,2016,oasis: supersonic
Drft.,232000.0,0.0,2016,the invitation
GK,223000.0,0.0,2016,miss hokusai
UTV,204000.0,0.0,2016,kaptaan
Sony,182000.0,0.0,2016,league of gods
Magn.,178000.0,0.0,2016,viva
Magn.,177000.0,0.0,2016,the wave
CJ,176000.0,0.0,2016,asura: the city of madness
Orch.,164000.0,0.0,2016,louder than bombs
Cohen,160000.0,0.0,2016,howards end (2016 restoration)
Magn.,160000.0,0.0,2016,sunset song
EOne,152000.0,0.0,2016,born to be blue
MBox,150000.0,0.0,2016,seasons
Cohen,149000.0,0.0,2016,rams (hrútar)
SM,135000.0,0.0,2016,tumbledown
MBox,128000.0,0.0,2016,the brand new testament
PM&E,126000.0,0.0,2016,spirits' homecoming
KL,125000.0,0.0,2016,sweet bean
Magn.,123000.0,0.0,2016,a war
KL,121000.0,0.0,2016,fire at sea
FM,121000.0,0.0,2016,hockney
WGUSA,120000.0,0.0,2016,three
IFC,119000.0,0.0,2016,tale of tales
KL,112000.0,0.0,2016,the measure of a man
BWP,108000.0,0.0,2016,aferim!
CZ,105000.0,0.0,2016,until forever (por siempre)
Icar.,105000.0,0.0,2016,under the sun (2016)
Strand,100000.0,0.0,2016,our last tango
Eros,98900.0,0.0,2016,rock on 2
CJ,97500.0,0.0,2016,seondal: the man who sells the river
CL,96400.0,0.0,2016,so young 2: never gone
CL,92400.0,0.0,2016,"new york, new york (2016)"
Ghop,90500.0,0.0,2016,fireworks wednesday
CL,89300.0,0.0,2016,no one's life is easy: so i married an anti-fan
FM,88000.0,0.0,2016,"my love, don't cross that river"
Magn.,86000.0,0.0,2016,author: the jt leroy story
KL,82900.0,0.0,2016,mountains may depart
CL,82800.0,0.0,2016,cock and bull
Cleopatra,82700.0,0.0,2016,a street cat named bob
Cohen,80800.0,0.0,2016,les cowboys
UTV,76900.0,0.0,2016,saala khadoos
A24,12500.0,62200.0,2016,the monster (2016)
IFC,71900.0,0.0,2016,dancer
CJ,71800.0,0.0,2016,sweet 20
BG,67500.0,0.0,2016,the dark horse
CJ,67100.0,0.0,2016,phantom detective
Rialto,66100.0,0.0,2016,ran (2016 re-issue)
Scre.,63800.0,0.0,2016,microbe & gasoline
CJ,59400.0,0.0,2016,time renegades
Dreamwest,57800.0,0.0,2016,vanishing time: a boy who returned
CJ,56600.0,0.0,2016,dongju: the portrait of a poet
Osci.,55800.0,0.0,2016,l'attesa
Magn.,55500.0,0.0,2016,the lovers and the despot
W/Dim.,55000.0,0.0,2016,clown
Cohen,54200.0,0.0,2016,diary of a chambermaid
Pala.,53400.0,0.0,2016,high strung (2016)
MBox,52800.0,0.0,2016,the club
Strand,52700.0,0.0,2016,being 17
Grav.,52500.0,0.0,2016,the last man on the moon
CJ,52000.0,0.0,2016,my annoying brother
Strand,52000.0,0.0,2016,cemetery of splendor
IFC,51900.0,0.0,2016,disorder
CJ,50800.0,0.0,2016,like for likes
Distrib.,50300.0,0.0,2016,in the shadow of women
Magn.,50300.0,0.0,2016,in order of disappearance
SDS,50200.0,0.0,2016,the treasure
KL,50100.0,0.0,2016,fatima
Drft.,45300.0,0.0,2016,we are x
CJ,44300.0,0.0,2016,a melody to remember
WGUSA,44000.0,0.0,2016,phantom of the theatre
Eros,43400.0,0.0,2016,mastizaade
Strand,42200.0,0.0,2016,closet monster
FRun,29500.0,9100.0,2016,troublemakers: the story of land art
Cohen,37800.0,0.0,2016,come what may
Linn,35800.0,0.0,2016,until forever
Strand,35300.0,0.0,2016,summertime (2016)
KL,34800.0,0.0,2016,songs my brothers taught me
FCW,34700.0,0.0,2016,mr. right
GK,34400.0,0.0,2016,phantom boy
CL,34300.0,0.0,2016,sweet sixteen (xia you qiao mu)
Strand,34300.0,0.0,2016,eisenstein in guanajuato
FRun,34200.0,0.0,2016,last cab to darwin
CJ,34000.0,0.0,2016,the map against the world
Ghop,32200.0,0.0,2016,kaili blues
IFC,32200.0,0.0,2016,anesthesia
Scre.,32000.0,0.0,2016,"rio, i love you"
KL,31000.0,0.0,2016,as i open my eyes
KL,30600.0,0.0,2016,the son of joseph
Strand,30200.0,0.0,2016,from afar
CL,30100.0,0.0,2016,for a few bullets
CJ,29300.0,0.0,2016,the last princess
Strand,28600.0,0.0,2016,valley of love
Electric,27100.0,0.0,2016,blackway
KL,26700.0,0.0,2016,neon bull
Jampa,26700.0,0.0,2016,papa (luo shan ji dao dan ji hua)
Cohen,26100.0,0.0,2016,standing tall (la tete haute)
Strand,25700.0,0.0,2016,chevalier
CL,25400.0,0.0,2016,the new year's eve of old lee
KL,25300.0,0.0,2016,cosmos
MBox,24900.0,0.0,2016,a monster with a thousand heads
IFC,24800.0,0.0,2016,evolution
Ghop,24500.0,0.0,2016,"right now, wrong then"
FR,24100.0,0.0,2016,lolo
Eros,22100.0,0.0,2016,sanam teri kasam
FCW,21300.0,0.0,2016,term life
A24,20400.0,0.0,2016,the sea of trees
CZ,18100.0,0.0,2016,wildflower (secretos del alma)
Scre.,15700.0,0.0,2016,colonia
FRun,14900.0,0.0,2016,argentina
CJ,14800.0,0.0,2016,remember you
A24,13200.0,0.0,2016,adderall diaries
FM,12800.0,0.0,2016,neither heaven nor earth
Magn.,12500.0,0.0,2016,the ones below
Strand,12500.0,0.0,2016,"kiki, love to love"
Zeit.,11700.0,0.0,2016,don't call me son
EpicPics,11300.0,0.0,2016,jeruzalem
KL,10300.0,0.0,2016,serial killer 1
MR,9000.0,0.0,2016,chronic
FR,8900.0,0.0,2016,magnus
Magn.,8900.0,0.0,2016,the last king
A24,8300.0,0.0,2016,mojave
FM,8100.0,0.0,2016,the other side
Crnth,7600.0,0.0,2016,the president
BBC,7500.0,0.0,2016,they will have to kill us first
Crnth,6200.0,0.0,2016,the carer
Drft.,5700.0,0.0,2016,klown forever
FCW,4600.0,0.0,2016,search party
Distrib.,3100.0,0.0,2016,in harmony
Distrib.,1600.0,0.0,2016,in her name (au nom de ma fille)
Distrib.,800.0,0.0,2016,next time i'll aim for the heart
Distrib.,800.0,0.0,2016,the student and mr. henri
Distrib.,700.0,0.0,2016,down by love
KL,300.0,0.0,2016,news from planet mars
Magn.,300.0,0.0,2016,satanic
BV,620200000.0,712400000.0,2017,star wars: the last jedi
BV,504000000.0,759500000.0,2017,beauty and the beast (2017)
Uni.,226000000.0,0.0,2017,the fate of the furious
Uni.,264600000.0,770200000.0,2017,despicable me 3
Sony,404500000.0,557600000.0,2017,jumanji: welcome to the jungle
Sony,334200000.0,546000000.0,2017,spider-man: homecoming
HC,2700000.0,867600000.0,2017,wolf warrior 2
BV,389800000.0,473900000.0,2017,guardians of the galaxy vol. 2
BV,315100000.0,538900000.0,2017,thor: ragnarok
WB,412600000.0,409300000.0,2017,wonder woman
BV,209700000.0,597400000.0,2017,coco
BV,172600000.0,622300000.0,2017,pirates of the caribbean: dead men tell no tales
WB (NL),327500000.0,372900000.0,2017,it
WB,229000000.0,428900000.0,2017,justice league
Fox,226300000.0,392700000.0,2017,logan (2017)
Par.,130199999.0,475300000.0,2017,transformers: the last knight
WB,168100000.0,398600000.0,2017,kong: skull island
Fox,175000000.0,353000000.0,2017,the boss baby
WB,188000000.0,337200000.0,2017,dunkirk
Fox,146900000.0,343800000.0,2017,war for the planet of the apes
Fox,174300000.0,260700000.0,2017,the greatest showman
Fox,100200000.0,310700000.0,2017,kingsman: the golden circle
Uni.,80200000.0,329000000.0,2017,the mummy (2017)
BV,152900000.0,231000000.0,2017,cars 3
Uni.,114600000.0,267000000.0,2017,fifty shades darker
FUN,5000000.0,353000000.0,2017,your name.
Fox,102800000.0,250000000.0,2017,murder on the orient express (2017)
Par.,44900000.0,301200000.0,2017,xxx: the return of xander cage
Uni.,45500000.0,289400000.0,2017,the great wall
SGem,26800000.0,285400000.0,2017,resident evil: the final chapter
WB,175800000.0,136200000.0,2017,the lego batman movie
WB (NL),102100000.0,204400000.0,2017,annabelle: creation
LGF,132400000.0,173500000.0,2017,wonder
Fox,84400000.0,211700000.0,2017,ferdinand
Uni.,138300000.0,140200000.0,2017,split
WB,92100000.0,167200000.0,2017,blade runner 2049
Uni.,176000000.0,79400000.0,2017,get out
WGUSA,363000.0,253800000.0,2017,kung fu yoga
GrtIndia,20200000.0,234000000.0,2017,baahubali 2: the conclusion
Sony,880000.0,245700000.0,2017,journey to the west: the demons strike back
Fox,74300000.0,166600000.0,2017,alien: covenant
TriS,107800000.0,119100000.0,2017,baby driver
STX,41200000.0,184700000.0,2017,valerian and the city of a thousand planets
WB,33700000.0,187900000.0,2017,geostorm
Sony,86100000.0,131699999.0,2017,the emoji movie
Uni.,64500000.0,140500000.0,2017,a dog's purpose
Sony,45000000.0,152200000.0,2017,smurfs: the lost village
FoxS,63900000.0,131400000.0,2017,the shape of water
Uni.,104900000.0,80500000.0,2017,pitch perfect 3
Par.,104000000.0,76600000.0,2017,daddy's home 2
Fox,81900000.0,97900000.0,2017,the post
Par.,58100000.0,119800000.0,2017,baywatch
LG/S,75500000.0,101100000.0,2017,the hitman's bodyguard
LG/S,92000000.0,79500000.0,2017,john wick: chapter two
Par.,40600000.0,129199999.0,2017,ghost in the shell (2017)
FoxS,54500000.0,104700000.0,2017,"three billboards outside ebbing, missouri"
CL,472000.0,150600000.0,2017,duckweed
Focus,56500000.0,94400000.0,2017,darkest hour
WB,39200000.0,109500000.0,2017,king arthur: legend of the sword
STX,34400000.0,111000000.0,2017,the foreigner
LGF,85400000.0,57000000.0,2017,power rangers (2017)
Uni.,115200000.0,25400000.0,2017,girls trip
Uni.,51300000.0,83500000.0,2017,american made
STX,72100000.0,58400000.0,2017,a bad moms christmas
Fox,73900000.0,51600000.0,2017,captain underpants: the first epic movie
Uni.,55700000.0,69800000.0,2017,happy death day
WB,59300000.0,63800000.0,2017,the lego ninjago movie
Sony,50700000.0,62500000.0,2017,the dark tower
CL,293000.0,109300000.0,2017,buddies in india
Wein.,21900000.0,81400000.0,2017,leap!
LGF,38100000.0,64900000.0,2017,jigsaw
WGUSA,218000.0,102000000.0,2017,railroad tigers
Sony,30200000.0,70300000.0,2017,life (2017)
Focus,51700000.0,48300000.0,2017,atomic blonde
LG/S,57400000.0,39600000.0,2017,the shack
CL,100000.0,95600000.0,2017,some like it hot (qing shung)
Yash,5600000.0,81800000.0,2017,tiger zinda hai
WB (NL),45000000.0,39900000.0,2017,going in style (2017)
Par.,27800000.0,55300000.0,2017,rings
WGUSA,1500000.0,80100000.0,2017,a taxi driver
SGem,30400000.0,50700000.0,2017,underworld: blood wars
A24,49000000.0,30000000.0,2017,lady bird
LGF,36200000.0,31000000.0,2017,american assassin
FUN,424000.0,65800000.0,2017,one piece film: gold
Focus,22200000.0,43200000.0,2017,victoria and abdul
ORF,28400000.0,36800000.0,2017,the nut job 2: nutty by nature
Par.,33400000.0,31100000.0,2017,monster trucks
Fox,30300000.0,32500000.0,2017,the mountain between us
Sony,40900000.0,22000000.0,2017,the star
PNT,32100000.0,29700000.0,2017,how to be a latin lover
WB,34100000.0,27500000.0,2017,"everything, everything"
Fox,45900000.0,15000000.0,2017,snatched
LGF,21900000.0,38400000.0,2017,my little pony: the movie
STX,28800000.0,30500000.0,2017,molly's game
TriS,25100000.0,31900000.0,2017,all the money in the world
LGF,42900000.0,13500000.0,2017,the big sick
CJ,476000.0,55500000.0,2017,confidential assignment
Par.,24400000.0,30600000.0,2017,downsizing
Neon,30000000.0,23900000.0,2017,"i, tonya"
BST,27800000.0,20700000.0,2017,logan lucky
LGF,47300000.0,1000000.0,2017,tyler perry's boo 2! a madea halloween
Focus,21200000.0,26600000.0,2017,phantom thread
Sony,22100000.0,25200000.0,2017,rough night
CJ,1100000.0,45000000.0,2017,the battleship island
Sony,16900000.0,28300000.0,2017,flatliners (2017)
LG/S,44900000.0,0.0,2017,all eyez on me
Par.,17800000.0,26700000.0,2017,mother!
ENTMP,44300000.0,0.0,2017,47 meters down
Uni.,6700000.0,36400000.0,2017,the snowman
FoxS,24800000.0,18200000.0,2017,gifted
Good Deed,6700000.0,35500000.0,2017,loving vincent
SPC,18100000.0,23800000.0,2017,call me by your name
TriS,2400000.0,39300000.0,2017,t2: trainspotting
WB (NL),32200000.0,8900000.0,2017,fist fight
Fox,20700000.0,19400000.0,2017,diary of a wimpy kid: the long haul
WB (NL),25600000.0,8600000.0,2017,the house
ParC,5900.0,34200000.0,2017,tad the lost explorer and the secret of king midas
Wein.,33800000.0,0.0,2017,wind river
ORF,20800000.0,12100000.0,2017,sleepless
Aviron,31000000.0,0.0,2017,kidnap (2017)
A24,21100000.0,8700000.0,2017,the disaster artist
ENTMP,29800000.0,0.0,2017,hostiles
Focus,10700000.0,16700000.0,2017,the beguiled (2017)
ORF,27000000.0,0.0,2017,home again
FIP,1400000.0,25500000.0,2017,judwaa 2
WB,18600000.0,8199999.0,2017,chips
STX,22400000.0,4300000.0,2017,the bye bye man
Fox,8100000.0,18500000.0,2017,a cure for wellness
Focus,17600000.0,8600000.0,2017,the zookeeper's wife
Sony,18300000.0,7400000.0,2017,only the brave
WB,17500000.0,8100000.0,2017,father figures
FIP,2000000.0,23200000.0,2017,badrinath ki dulhania
BV,13900000.0,11200000.0,2017,born in china
Wein.,12800000.0,11300000.0,2017,the founder
FIP,1700000.0,21300000.0,2017,jolly llb 2
LGF,17300000.0,4600000.0,2017,the glass castle
Elev.,1500000.0,19200000.0,2017,sword art online: the movie - ordinal scale
STX,20500000.0,0.0,2017,the circle (2017)
A24,14000000.0,5300000.0,2017,it comes at night
BST,8600000.0,10700000.0,2017,the lost city of z
WB,11400000.0,6400000.0,2017,unforgettable (2017)
PFR,14700000.0,3000000.0,2017,the case for christ
Annapurna,16800000.0,0.0,2017,detroit
Amazon,1400000.0,14500000.0,2017,wonder wheel
Wein.,7200000.0,7700000.0,2017,gold
STX,7900000.0,6900000.0,2017,the space between us
BG,14300000.0,0.0,2017,wish upon
FoxS,3900000.0,9900000.0,2017,a united kingdom
Sony,12000000.0,1100000.0,2017,"roman j. israel, esq."
Sony,759000.0,12100000.0,2017,mubarakan
FoxS,12600000.0,0.0,2017,battle of the sexes
ORF,8199999.0,4200000.0,2017,the promise (2017)
ORF,12200000.0,0.0,2017,before i fall
BBC,81300.0,11600000.0,2017,earth: one amazing day
Uni.,9500000.0,0.0,2017,thank you for your service (2017)
LG/S,9400000.0,0.0,2017,rock dog
FoxS,2700000.0,6500000.0,2017,my cousin rachel
FR,211000.0,8800000.0,2017,truman
RAtt.,4200000.0,4200000.0,2017,stronger
Wein.,2500000.0,5900000.0,2017,tulip fever
IFC,1100000.0,6700000.0,2017,viceroy's house
W/Dim.,700.0,7700000.0,2017,amityville: the awakening
BG,6100000.0,1600000.0,2017,just getting started
RAtt.,7100000.0,310000.0,2017,beatriz at dinner
Magn.,7100000.0,0.0,2017,i am not your negro
SPC,922000.0,5700000.0,2017,the red turtle
IFC,47700.0,6500000.0,2017,from the land of the moon
SPC,6200000.0,0.0,2017,maudie
Affirm,5800000.0,140000.0,2017,all saints
A24,5900000.0,0.0,2017,the florida project
Par.,5800000.0,0.0,2017,suburbicon
BST,5700000.0,0.0,2017,the man who invented christmas
SPC,5600000.0,0.0,2017,paris can wait
FIP,468000.0,5000000.0,2017,phillauri
FIP,356000.0,5000000.0,2017,ok jaanu
Par.,3500000.0,1900000.0,2017,an inconvenient sequel: truth to power
FoxS,3600000.0,1400000.0,2017,table 19
ORF,2300000.0,2500000.0,2017,collide
RAtt.,1800000.0,2700000.0,2017,the wall
SPC,769000.0,3600000.0,2017,mark felt: the man who brought down the white house
Distrib.,1000000.0,2900000.0,2017,terminator 2: judgment day 3d
Annapurna,2100000.0,1700000.0,2017,brad's status
ENTMP,3800000.0,0.0,2017,friend request
STX,3600000.0,0.0,2017,their finest
RAtt.,1100000.0,2200000.0,2017,wonderstruck
SPC,3200000.0,0.0,2017,the leisure seeker
FCW,515000.0,2600000.0,2017,raw (2017)
Neon,3000000.0,0.0,2017,colossal
FIP,410000.0,2500000.0,2017,a gentleman
Imax,1500000.0,1300000.0,2017,inhumans
Osci.,2800000.0,0.0,2017,kedi
RAtt.,624000.0,1900000.0,2017,the only living boy in new york
PNT,2500000.0,0.0,2017,hazlo como hombre (do it like an hombre)
Sony,97000.0,2400000.0,2017,poster boys
Cohen,2400000.0,0.0,2017,the salesman
Fathom,2400000.0,0.0,2017,pokemon the movie: i choose you!
Scre.,2300000.0,0.0,2017,jeepers creepers 3
PNT,2200000.0,0.0,2017,un padre no tan padre
A24,2000000.0,0.0,2017,good time
PNT,1900000.0,0.0,2017,everybody loves somebody
WGUSA,1900000.0,0.0,2017,along with the gods: the two worlds
CL,1900000.0,0.0,2017,youth (2017)
LGF,965000.0,904000.0,2017,last flag flying
MBox,1900000.0,0.0,2017,a quiet passion
A24,1800000.0,0.0,2017,free fire
BST,1800000.0,0.0,2017,the last word
Magn.,528000.0,1300000.0,2017,human flow
Abr.,1700000.0,0.0,2017,jane (2017)
A24,1600000.0,0.0,2017,a ghost story
Magn.,1500000.0,0.0,2017,the square
FoxS,800000.0,682000.0,2017,patti cake$
RAtt.,1400000.0,0.0,2017,the wedding plan
IFC,1300000.0,0.0,2017,personal shopper
Cohen,1300000.0,0.0,2017,churchill
CBS,1300000.0,0.0,2017,the sense of an ending
PNT,1200000.0,0.0,2017,3 idiotas
MOM,14800.0,1100000.0,2017,6 below: miracle on the mountain
RAtt.,1100000.0,0.0,2017,lady macbeth
SPC,1000000.0,0.0,2017,film stars don't die in liverpool
SV,1000000.0,0.0,2017,yu-gi-oh! the dark side of dimensions
Magn.,956000.0,0.0,2017,lucky (2017)
Cohen,954000.0,0.0,2017,faces places
Yash,930000.0,0.0,2017,tubelight
MBox,881000.0,0.0,2017,frantz
Zeit.,820000.0,0.0,2017,bombshell: the hedy lamarr story
Gathr,727000.0,0.0,2017,walk with me
BG,123000.0,578000.0,2017,buena vista social club: adios
Par.,692000.0,0.0,2017,titanic (20th anniversary)
Osci.,692000.0,0.0,2017,lost in paris
Eros,690000.0,0.0,2017,shubh mangal saavdhan
MBox,604000.0,0.0,2017,the midwife
Wein.,156000.0,375000.0,2017,3 generations
FUN,519000.0,0.0,2017,fairy tail: dragon cry
